goal,level,gender,Equipment Required,Day 1 Body Parts,Day 2 Body Parts,Day 3 Body Parts,Day 4 Body Parts,Day 5 Body Parts,Day 6 Body Parts,Day 7 Body Parts
Gain Muscle,Advanced,Male & Female,"Barbell, Cables, Dumbbells","-, chest, shoulders, back, upper arms, upper arms, upper arms, upper arms, -, waist","upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist, waist","-, chest, shoulders, back, upper arms, upper arms, upper arms, upper arms, -, waist","upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist, waist","-, chest, shoulders, back, upper arms, upper arms, upper arms, upper arms, -, waist","upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist, waist","-, chest, shoulders, back, upper arms, upper arms, upper arms, upper arms, -, waist"
Gain Muscle,Advanced,Male,"Barbell, Cables, Dumbbells, EZ Bar, Machines, Other","shoulders, shoulders, shoulders, shoulders, shoulders","back, back, back, back, upper legs, lower legs","chest, chest, chest, chest","upper legs, -, upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs","upper arms, upper arms, -, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, -","shoulders, shoulders, shoulders, shoulders, shoulders","back, back, back, back, upper legs, lower legs"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells, Machines","chest, back, shoulders, back, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","chest, back, shoulders, back, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","chest, back, shoulders, back, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","chest, back, shoulders, back, upper arms, upper arms, back"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Dumbbells","upper legs, back, back, chest, shoulders, waist, -","upper legs, upper legs, upper legs, chest, upper legs, lower legs, upper legs, back, waist, waist","shoulders, shoulders, shoulders, back, chest, back, waist, -","upper legs, back, back, chest, shoulders, waist, -","upper legs, upper legs, upper legs, chest, upper legs, lower legs, upper legs, back, waist, waist","shoulders, shoulders, shoulders, back, chest, back, waist, -","upper legs, back, back, chest, shoulders, waist, -"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, -","chest, chest, back, back, shoulders","upper legs, lower legs, upper legs, upper legs, upper legs, lower arms, upper arms","shoulders, chest, upper arms, upper arms, back, back","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, -","chest, chest, back, back, shoulders","upper legs, lower legs, upper legs, upper legs, upper legs, lower arms, upper arms"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","upper arms, upper arms, lower arms, upper arms, -, chest, shoulders, shoulders, lower arms, upper arms, -, -, chest, -, waist, upper legs, waist","shoulders, shoulders, -, chest, upper arms, upper arms, back, back, -","-, upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist, waist","upper arms, upper arms, lower arms, upper arms, -, chest, shoulders, shoulders, lower arms, upper arms, -, -, chest, -, waist, upper legs, waist","shoulders, shoulders, -, chest, upper arms, upper arms, back, back, -","-, upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist, waist","upper arms, upper arms, lower arms, upper arms, -, chest, shoulders, shoulders, lower arms, upper arms, -, -, chest, -, waist, upper legs, waist"
Gain Muscle,Advanced,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","chest, chest, chest, chest, waist, waist, waist, chest, chest","back, back, back, back, back, upper legs, lower legs, waist, waist, waist","upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, waist, upper arms, upper arms, waist, -","shoulders, shoulders, shoulders, back, back, shoulders, -, waist, waist, waist, waist, waist","chest, chest, chest, chest, waist, waist, waist, chest, chest","back, back, back, back, back, upper legs, lower legs, waist, waist, waist"
Gain Muscle,Intermediate,Male,"Barbell, Bodyweight, Cables, Dumbbells, Machines, Other","chest, chest, chest, chest","back, back, chest, back, upper legs","upper legs, lower legs, -, upper legs, lower legs, upper legs, upper legs, upper legs","shoulders, shoulders, shoulders, shoulders, waist, waist, -","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, lower arms, upper arms, lower arms, upper arms","chest, chest, chest, chest","back, back, chest, back, upper legs"
Gain Muscle,Beginner,Male,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, chest, chest, chest, back, back, shoulders, back","upper legs, lower legs, lower arms, upper arms, upper arms, upper arms, upper arms, upper arms, lower arms, upper arms, upper arms, upper arms, waist, waist","upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, chest, chest, chest, back, back, chest, back","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, chest, chest, chest, back, back, shoulders, back","upper legs, lower legs, lower arms, upper arms, upper arms, upper arms, upper arms, upper arms, lower arms, upper arms, upper arms, upper arms, waist, waist","upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, chest, chest, chest, back, back, chest, back","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, chest, chest, chest, back, back, shoulders, back"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms","back, chest, back, back, shoulders","upper legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms","shoulders, back, back, back, chest","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, shoulders, shoulders","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms","back, chest, back, back, shoulders"
 Get Fitter,Beginner,Male & Female,"Barbell, Bodyweight, Dumbbells, Other","upper legs, upper legs, back, back, chest, -, lower arms, upper arms","upper legs, lower legs, upper legs, back, back, chest, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, back, back, shoulders, upper legs, lower arms, upper arms","upper legs, upper legs, back, back, chest, -, lower arms, upper arms","upper legs, lower legs, upper legs, back, back, chest, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, back, back, shoulders, upper legs, lower arms, upper arms","upper legs, upper legs, back, back, chest, -, lower arms, upper arms"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Dumbbells, Machines","chest, back, shoulders, upper arms, upper arms, upper legs, lower arms, upper arms","chest, back, back, upper arms, upper arms, upper legs, lower legs, waist","back, shoulders, upper arms, upper arms, upper legs, upper legs, lower legs","chest, back, shoulders, upper arms, upper arms, upper legs, lower arms, upper arms","chest, back, back, upper arms, upper arms, upper legs, lower legs, waist","back, shoulders, upper arms, upper arms, upper legs, upper legs, lower legs","chest, back, shoulders, upper arms, upper arms, upper legs, lower arms, upper arms"
 Lose Weight,Beginner,Male,"Bodyweight, Dumbbells, Other","upper arms, upper arms, back, upper legs, waist, upper legs","upper arms, upper arms, back, -, -, waist","back, -, -, upper legs, upper legs","back, -, -, -, waist","upper arms, upper arms, back, upper legs, waist, upper legs","upper arms, upper arms, back, -, -, waist","back, -, -, upper legs, upper legs"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","-, chest, chest, -, chest, chest, -, chest, chest, shoulders, -, shoulders, shoulders, -, shoulders, shoulders, -, back, shoulders","-, back, back, -, -, back, -, back, upper arms, upper arms, -, upper arms, upper arms, -, upper arms, upper arms, -, upper arms, upper arms, upper arms, upper arms, -, upper arms, upper arms","-, upper legs, upper legs, upper legs, upper legs, lower legs, -","-, chest, chest, chest, shoulders, shoulders, shoulders, back","-, back, -, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","-, upper legs, upper legs, lower arms, upper arms, upper legs, lower legs, upper legs","-, chest, chest, -, chest, chest, -, chest, chest, shoulders, -, shoulders, shoulders, -, shoulders, shoulders, -, back, shoulders"
Gain Muscle,Intermediate,Male,"Barbell, Bodyweight, Cables, Dumbbells, Machines","chest, chest, back, back, shoulders, waist","upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","chest, shoulders, back, upper legs, back, waist","upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","back, upper arms, upper arms, back, shoulders, back, waist","chest, chest, back, back, shoulders, waist","upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines, Other","chest, chest, shoulders, upper legs, upper legs, upper arms, upper arms","upper legs, lower legs, upper legs, lower legs, back, back, shoulders, lower arms, upper arms","shoulders, chest, upper legs, upper arms, upper arms, upper arms, upper arms","-, upper legs, back, upper arms, upper arms, lower arms, upper arms","chest, chest, shoulders, upper legs, upper legs, upper arms, upper arms","upper legs, lower legs, upper legs, lower legs, back, back, shoulders, lower arms, upper arms","shoulders, chest, upper legs, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines","upper legs, upper legs, upper legs, lower arms, upper arms","upper arms, upper arms, back, chest, back, upper arms, upper arms","upper legs, lower legs, upper legs, -, back","back, chest, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower arms, upper arms","upper arms, upper arms, back, chest, back, upper arms, upper arms","upper legs, lower legs, upper legs, -, back"
Gain Muscle,Intermediate,Male & Female,"Barbell, Cables, Dumbbells, Machines","-, chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms","-, back, back, back, back, upper arms, upper arms, upper arms, upper arms","-, shoulders, shoulders, shoulders, shoulders, back, back","-, upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms","-, chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms","-, back, back, back, back, upper arms, upper arms, upper arms, upper arms","-, shoulders, shoulders, shoulders, shoulders, back, back"
Gain Muscle,Beginner,Male & Female,"Barbell, Dumbbells","chest, chest, chest, chest, chest, chest","shoulders, shoulders, shoulders, back, shoulders, back","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, lower arms, upper arms","back, upper legs, lower legs, back, back, back, chest","upper legs, upper legs, -, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","waist, -, waist, waist","chest, upper legs, lower legs, shoulders, chest, chest, back"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells","upper legs, lower legs, back, -, back, back, back, -, upper legs","chest, upper arms, upper arms, upper arms, upper arms, -, waist","upper legs, upper legs, upper legs, -, -","shoulders, shoulders, shoulders, shoulders, back, upper arms, upper arms, upper arms, upper arms, back, upper arms, upper arms, upper arms, upper arms, back","upper legs, lower legs, back, -, back, back, back, -, upper legs","chest, upper arms, upper arms, upper arms, upper arms, -, waist","upper legs, upper legs, upper legs, -, -"
Gain Muscle,Intermediate,Male & Female,"Cables, Machines","shoulders, chest, -, shoulders, -, chest, upper arms, upper arms, upper arms, upper arms","shoulders, chest, -, shoulders, -, chest, upper arms, upper arms, upper arms, upper arms","shoulders, chest, -, shoulders, -, chest, upper arms, upper arms, upper arms, upper arms","shoulders, chest, -, shoulders, -, chest, upper arms, upper arms, upper arms, upper arms",,,
Increase Strength,Intermediate,Male,"Barbell, Dumbbells","-, chest, chest, upper arms, upper arms, shoulders, upper arms, upper arms, shoulders","-, chest, chest, upper arms, upper arms, shoulders, upper arms, upper arms, shoulders","-, chest, chest, upper arms, upper arms, shoulders, upper arms, upper arms, shoulders","-, chest, chest, upper arms, upper arms, shoulders, upper arms, upper arms, shoulders","-, chest, chest, upper arms, upper arms, shoulders, upper arms, upper arms, shoulders","-, chest, chest, upper arms, upper arms, shoulders, upper arms, upper arms, shoulders","-, chest, chest, upper arms, upper arms, shoulders, upper arms, upper arms, shoulders"
Increase Strength,Intermediate,Male & Female,"Barbell, Cables, Dumbbells, EZ Bar","-, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","-, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","-, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms",,,,
Gain Muscle,Beginner,Male & Female,"Dumbbells, Machines","-, chest, chest, chest","-, chest, chest, chest","-, chest, chest, chest","-, chest, chest, chest",,,
Gain Muscle,Intermediate,Male,"Cables, Dumbbells","chest, chest, chest, chest, -, -","chest, chest, chest, chest, -, -","chest, chest, chest, chest, -, -","chest, chest, chest, chest, -, -",,,
Gain Muscle,Intermediate,Male & Female,"Barbell, Dumbbells, Machines","-, chest, chest, chest","-, chest, chest, chest","-, chest, chest, chest","-, chest, chest, chest","-, chest, chest, chest",,
Gain Muscle,Intermediate,Male & Female,"Bodyweight, Dumbbells, Machines","chest, chest, -, chest, chest","chest, chest, -, chest, chest","chest, chest, -, chest, chest","chest, chest, -, chest, chest","chest, chest, -, chest, chest","chest, chest, -, chest, chest","chest, chest, -, chest, chest"
Gain Muscle,Beginner,Male & Female,"Barbell, Cables, Dumbbells, Machines","-, chest, chest, chest, chest, chest, chest, chest, upper legs, chest","-, chest, chest, chest, chest, chest, chest, chest, upper legs, chest","-, chest, chest, chest, chest, chest, chest, chest, upper legs, chest",,,,
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells","-, -, chest, back, -, chest, back, -, chest, back, -, chest, chest, chest, -, upper legs, -","-, -, chest, back, -, chest, back, -, chest, back, -, chest, chest, chest, -, upper legs, -","-, -, chest, back, -, chest, back, -, chest, back, -, chest, chest, chest, -, upper legs, -",,,,
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","chest, chest, chest, -, -","chest, chest, chest, -, -","chest, chest, chest, -, -","chest, chest, chest, -, -",,,
Gain Muscle,Advanced,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Exercise Ball","chest, chest, chest, chest","-, chest, chest, chest","-, chest, chest, chest, chest","-, chest, chest, chest","-, shoulders, chest, chest, chest","-, chest, chest, chest","-, chest, chest, chest, chest"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells","chest, -, upper arms, upper arms, chest, chest","chest, -, upper arms, upper arms, chest, chest","chest, -, upper arms, upper arms, chest, chest","chest, -, upper arms, upper arms, chest, chest","chest, -, upper arms, upper arms, chest, chest","chest, -, upper arms, upper arms, chest, chest","chest, -, upper arms, upper arms, chest, chest"
Increase Strength,Intermediate,Male & Female,"Barbell, Dumbbells","chest, chest, shoulders","-, chest, -","chest, chest, shoulders","-, chest, -","-, -, -, -","-, chest, -",
 Lose Weight,Advanced,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, waist, waist","back, back, back, upper legs, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, shoulders, shoulders, shoulders, shoulders, waist, waist","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, -, waist","back, back, upper legs, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, shoulders, shoulders, shoulders, back, -, waist","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, waist, waist"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist","chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar","chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","back, back, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower arms, upper arms, shoulders, shoulders, shoulders","chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","back, back, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower arms, upper arms, shoulders, shoulders, shoulders","chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms"
 Lose Weight,Beginner,Male & Female,Bodyweight,"back, shoulders, back, upper arms, upper arms, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist, back","upper arms, upper arms, chest, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","back, shoulders, back, upper arms, upper arms, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist, back","upper arms, upper arms, chest, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","back, shoulders, back, upper arms, upper arms, upper arms, upper arms, back"
 Lose Weight,Beginner,Male & Female,Bodyweight,"upper legs, upper legs, waist, -, -, -, -, waist, waist","upper legs, upper legs, waist, -, -, -, -, waist, waist","upper legs, upper legs, waist, -, -, -, -, waist, waist","upper legs, upper legs, waist, -, -, -, -, waist, waist","upper legs, upper legs, waist, -, -, -, -, waist, waist","upper legs, upper legs, waist, -, -, -, -, waist, waist","upper legs, upper legs, waist, -, -, -, -, waist, waist"
 Lose Weight,Intermediate,Male,"Barbell, Bodyweight, Cables, Dumbbells, Machines","waist, waist, waist","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","chest, chest, chest, chest, chest","back, back, back, back, upper legs","shoulders, shoulders, shoulders, back","waist, waist, waist"
 Lose Weight,Intermediate,Male & Female,"Bands, Barbell, Dumbbells, Kettle Bells, Medicine Ball","upper legs, upper legs, lower legs, -","upper legs, waist, -","upper legs, lower legs, upper legs","upper legs, upper legs, lower legs, -","upper legs, waist, -","upper legs, lower legs, upper legs","upper legs, upper legs, lower legs, -"
 Lose Weight,Intermediate,Male & Female,"Barbell, Cables, Dumbbells, EZ Bar, Machines","shoulders, shoulders, shoulders, back","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms","back, back, back, upper legs","chest, chest, chest, chest","waist, upper legs, lower legs, waist","shoulders, shoulders, shoulders, back"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines, Other","upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","back, back, back, upper arms, upper arms, upper arms, upper arms","shoulders, shoulders, shoulders, chest, upper arms, upper arms, upper arms, upper arms","-, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms","chest, back, back, chest, chest, shoulders","upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","back, back, back, upper arms, upper arms, upper arms, upper arms"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar","shoulders, shoulders, shoulders, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","back, back, back, upper legs","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","shoulders, shoulders, shoulders, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","back, back, back, upper legs","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms"
Get Fitter,Beginner,Male & Female,"Bodyweight, Kettle Bells","upper legs, -, chest, -, -, -, upper legs, lower legs","upper legs, -, chest, -, -, -, upper legs, lower legs","upper legs, -, chest, -, -, -, upper legs, lower legs","upper legs, -, chest, -, -, -, upper legs, lower legs",,,
 Lose Weight,Beginner,Male & Female,"Barbell, Bodyweight, Dumbbells, Kettle Bells","chest, back, waist, -, upper legs, -, upper arms, upper arms, waist, waist, -","upper legs, upper legs, lower legs, chest, back, -, shoulders, -","chest, back, waist, -, upper legs, -, upper arms, upper arms, waist, waist, -","upper legs, upper legs, lower legs, chest, back, -, shoulders, -","-, back, waist, upper legs, upper legs, upper legs, chest, waist, waist, -","upper legs, -, chest, -, -, back, -","chest, back, waist, -, upper legs, -, upper arms, upper arms, waist, waist, -"
Gain Muscle,Intermediate,Male,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","chest, chest, chest, upper arms, upper arms, upper arms, upper arms,","upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs","shoulders, shoulders, shoulders, chest, chest, waist, waist","back, upper arms, upper arms, back, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, waist, upper legs, lower legs","upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs","shoulders, shoulders, shoulders, chest, lower arms, upper arms, chest, waist, waist"
Gain Muscle,Intermediate,Male,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","-, upper legs, back, upper legs, lower legs, lower arms, upper arms, waist","-, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","-, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist","-, shoulders, back, chest, upper arms, upper arms, upper arms, upper arms","-, upper legs, back, upper legs, lower legs, lower arms, upper arms, waist","-, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","-, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist"
Gain Muscle,Beginner,Male & Female,"Barbell, Cables, Dumbbells, Machines","chest, chest, -, back, shoulders, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms","upper legs, lower legs, chest, chest, back, back, back","shoulders, shoulders, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","chest, chest, -, back, shoulders, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Dumbbells, Machines","chest, back, upper legs, upper legs, lower legs, shoulders, waist","chest, upper legs, lower legs, chest, upper arms, upper arms, upper legs, lower legs, lower arms, upper arms, waist","chest, back, shoulders, upper legs, upper legs, lower arms, upper arms, waist","chest, back, upper legs, upper legs, lower legs, shoulders, waist","chest, upper legs, lower legs, chest, upper arms, upper arms, upper legs, lower legs, lower arms, upper arms, waist","chest, back, shoulders, upper legs, upper legs, lower arms, upper arms, waist","chest, back, upper legs, upper legs, lower legs, shoulders, waist"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines, Other","shoulders, back, chest, back, lower arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms","chest, back, back, shoulders, shoulders","upper legs, lower legs, upper legs, upper legs, upper legs, upper legs, lower legs","shoulders, back, chest, back, lower arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms","chest, back, back, shoulders, shoulders"
Gain Muscle,Advanced,Male & Female,"Barbell, Cables, Dumbbells","-, chest, shoulders, back, upper arms, upper arms, upper arms, upper arms, -, waist","upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist, waist","-, chest, shoulders, back, upper arms, upper arms, upper arms, upper arms, -, waist","upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist, waist","-, chest, shoulders, back, upper arms, upper arms, upper arms, upper arms, -, waist","upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist, waist","-, chest, shoulders, back, upper arms, upper arms, upper arms, upper arms, -, waist"
Gain Muscle,Advanced,Male,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines","upper legs, chest, upper legs, lower legs, back, back, shoulders, upper arms, upper arms","upper legs, chest, upper legs, lower legs","upper legs, chest, upper legs, lower legs, back, back, shoulders, upper arms, upper arms","upper legs, chest, upper legs, lower legs, back, back, shoulders, upper arms, upper arms","upper legs, chest, upper legs, lower legs","upper legs, chest, upper legs, lower legs, back, back, shoulders, upper arms, upper arms","upper legs, chest, upper legs, lower legs, back, back, shoulders, upper arms, upper arms"
Gain Muscle,Advanced,Male,"Barbell, Cables, Dumbbells, EZ Bar, Machines, Other","shoulders, shoulders, shoulders, shoulders, shoulders","back, back, back, back, upper legs, lower legs","chest, chest, chest, chest","upper legs, -, upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs","upper arms, upper arms, -, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, -","shoulders, shoulders, shoulders, shoulders, shoulders","back, back, back, back, upper legs, lower legs"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells, Machines","chest, back, shoulders, back, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","chest, back, shoulders, back, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","chest, back, shoulders, back, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","chest, back, shoulders, back, upper arms, upper arms, back"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Dumbbells","upper legs, back, back, chest, shoulders, waist, -","upper legs, upper legs, upper legs, chest, upper legs, lower legs, upper legs, back, waist, waist","shoulders, shoulders, shoulders, back, chest, back, waist, -","upper legs, back, back, chest, shoulders, waist, -","upper legs, upper legs, upper legs, chest, upper legs, lower legs, upper legs, back, waist, waist","shoulders, shoulders, shoulders, back, chest, back, waist, -","upper legs, back, back, chest, shoulders, waist, -"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, -","chest, chest, back, back, shoulders","upper legs, lower legs, upper legs, upper legs, upper legs, lower arms, upper arms","shoulders, chest, upper arms, upper arms, back, back","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, -","chest, chest, back, back, shoulders","upper legs, lower legs, upper legs, upper legs, upper legs, lower arms, upper arms"
